RANK,COMPANY NAME,GROWTH,EMPLOYEES,STATE, REVENUE ,FOUNDED,INDUSTRY
4962,Mueller Prost CPAs + Business Advisors,59,144,MO,20.5 MM,1983,Financial Services
4996,Pentec Health,57,580,PA,160.8 MM,1983,Health
897,Midway Dental Supply,555,160,MI,46.7 MM,1984,Health
1316,Industrial Motor Power Coporation,363,24,CA,11.8 MM,1984,Retail
1641,Ruoff Home Mortgage,281,514,IN,90.4 MM,1984,Financial Services
2199,VOX DJs,201,105,CA,3.8 MM,1984,Travel & Hospitality
2680,Inspect-All Services,156,80,GA,6.8 MM,1984,Consumer Products & Services
3369,VLK Architects,115,127,TX,34.6 MM,1984,Construction
3501,Beemac Trucking & Logistics,108,121,PA,68.9 MM,1984,Logistics & Transportation
4283,Sharon Young,79,121,TX,64.3 MM,1984,Retail
4517,Morcom International,72,18,VA,11.2 MM,1984,Government Services
4553,Park Square Homes,71,115,FL,136.4 MM,1984,Construction
1643,Schiefer Chopshop,281,43,CA,31.7 MM,1985,Advertising & Marketing
2085,Research America,213,300,PA,10.7 MM,1985,Advertising & Marketing
2452,TalentBridge,176,2835,NY,66.2 MM,1985,Human Resources
2554,Commonwealth,167,88,OH,11.2 MM,1985,Logistics & Transportation
2817,Rising Sun Farms,146,37,OR,10.3 MM,1985,Food & Beverage
3368,Yes&,115,45,VA,10.7 MM,1985,Advertising & Marketing
3551,XeteX,106,85,MN,16.6 MM,1985,Manufacturing
3872,Avion Insurance,92,6,FL,12.6 MM,1985,Insurance
3972,McGill Restoration,89,88,NE,17.3 MM,1985,Construction
4185,Bubbies Homemade Ice Cream and Desserts,82,55,HI,11.8 MM,1985,Food & Beverage
4455,Foundation Software / Payroll4Construction.com,74,250,OH,34.0 MM,1985,Software
4486,Atlas Oil Company,73,380,MI,691.3 MM,1985,Energy
4521,Mercer Advisors,72,216,CA,73.7 MM,1985,Financial Services
4582,Fulcrum IT Services,70,343,VA,90.6 MM,1985,IT Management
4773,Morgan Properties,64,1104,PA,585.6 MM,1985,Real Estate
4843,U.S. Pavement Services,62,162,MA,58.0 MM,1985,Construction
4879,Point Recognition,61,10,OH,9.0 MM,1985,Business Products & Services
4993,TouchSource,57,34,CO,7.6 MM,1985,Business Products & Services
1777,Five Star Call Centers/DBA,255,465,SD,20.4 MM,1986,Telecommunications
1785,LogoGram,253,8,FL,2.2 MM,1986,Business Products & Services
2158,United Shore,205,2278,MI,1085.8 MM,1986,Financial Services
2207,TXS Industrial Design,200,7,TX,15.6 MM,1986,Manufacturing
3151,Adler Windows,126,107,NY,24.0 MM,1986,Construction
3399,Circle Computer Resources,113,115,IA,22.0 MM,1986,IT Management
3478,Universal Plant Services,109,2131,TX,453.2 MM,1986,Construction
3574,ERA Central Realty Group,105,23,NJ,7.4 MM,1986,Real Estate
3678,Kingsgate Transportation Services,101,51,OH,52.0 MM,1986,Logistics & Transportation
3684,Risk International Services,100,77,OH,22.0 MM,1986,Business Products & Services
3759,Just Right Cleaning and Construction,97,25,WA,5.2 MM,1986,Construction
3762,Commuter Air Technology,97,207,OK,96.0 MM,1986,Business Products & Services
4071,West USA Realty,86,54,AZ,88.8 MM,1986,Real Estate
4304,Arora Engineers,78,144,PA,23.7 MM,1986,Engineering
4382,Cold Jet,76,243,OH,76.1 MM,1986,Manufacturing
4569,JobFinders Employment Services,71,2278,MO,11.6 MM,1986,Human Resources
4615,Hyperquake,69,28,OH,5.0 MM,1986,Advertising & Marketing
4752,Walton's,65,46,KS,16.6 MM,1986,Food & Beverage
4939,ColorPage,59,25,NY,3.0 MM,1986,Advertising & Marketing
712,Lexitas,698,427,TX,84.6 MM,1987,Business Products & Services
1654,Sims-Durkin Associates Engineering Co.,278,28,IN,3.5 MM,1987,Engineering
1939,SupplyCore,231,209,IL,342.9 MM,1987,Government Services
1981,Parts Town,226,1279,IL,392.9 MM,1987,Business Products & Services
2494,MANDEX,172,131,VA,27.2 MM,1987,Government Services
2776,Private Jets,149,50,OK,17.4 MM,1987,Travel & Hospitality
2965,Best Deal Car Service,137,12,NY,2.4 MM,1987,Logistics & Transportation
3218,United Language Group,122,469,MN,76.3 MM,1987,Business Products & Services
3267,LBA Haynes Strand,120,83,NC,8.9 MM,1987,Financial Services
3281,Discovery Benefits,119,759,ND,81.2 MM,1987,Health
3304,The Neiders Company,118,149,WA,32.7 MM,1987,Real Estate
3333,Fresh Concepts,117,31,CA,9.9 MM,1987,Food & Beverage
3474,Capital Title of Texas,109,562,TX,93.7 MM,1987,Real Estate
3833,American Specialty Health,94,1415,IN,497.4 MM,1987,Health
3909,Sparkchasers Aircraft Services,91,15,NC,2.4 MM,1987,Consumer Products & Services
4143,8x8,83,1100,CA,283.6 MM,1987,Software
4178,2020 Exhibits,82,215,TX,39.1 MM,1987,Advertising & Marketing
4189,Anchor Distributing,82,36,MN,19.4 MM,1987,Business Products & Services
4319,Applied Educational Systems,77,17,PA,2.4 MM,1987,Education
4484,The Original Frameless Shower Doors,73,105,FL,11.6 MM,1987,Manufacturing
4534,Haverford Systems,72,45,PA,15.6 MM,1987,Telecommunications
4658,Interwest Communications,68,13,WA,3.1 MM,1987,Telecommunications
4787,Superior Tool Service,64,42,KS,5.8 MM,1987,Manufacturing
4816,EVINS Communications,63,30,NY,9.0 MM,1987,Advertising & Marketing
4817,MicroSystems Automation Group,63,255,VA,37.0 MM,1987,Government Services
4846,Streamline Publishing,62,23,FL,7.0 MM,1987,Advertising & Marketing
1004,Pensionmark Financial Group,490,234,CA,22.9 MM,1988,Financial Services
1697,SPRINGROCK,270,15,IL,2.5 MM,1988,Consumer Products & Services
1899,Plasticard Locktech International,236,1088,NV,190.6 MM,1988,Manufacturing
2684,Filterworks USA,156,30,FL,12.3 MM,1988,Business Products & Services
2694,Southwest Industrial Electric,155,23,CA,3.4 MM,1988,Construction
2809,SomerTile,147,89,NJ,27.1 MM,1988,Consumer Products & Services
2942,SPECTRO COATING,139,63,MA,17.2 MM,1988,Manufacturing
3207,Murray Resources,122,27,TX,11.5 MM,1988,Human Resources
3820,elite personnel,95,78,MD,3.4 MM,1988,Human Resources
3923,Premier Pools and Spas,91,1000,CA,220.1 MM,1988,Construction
4097,Amber Green,85,104,TX,7.0 MM,1988,Food & Beverage
4217,The Siegfried Group,81,750,DE,177.0 MM,1988,Financial Services
4268,OCP Group,79,28,CA,19.3 MM,1988,Manufacturing
4396,iovation,75,168,OR,41.1 MM,1988,Security
4442,MDG Computer Services,74,18,IL,10.3 MM,1988,Telecommunications
4453,Supreme Resources,74,19,GA,81.0 MM,1988,Manufacturing
4606,Advanced Resources,70,117,IL,68.8 MM,1988,Human Resources
4651,Staff One HR,68,65,TX,41.7 MM,1988,Human Resources
4670,Cargas Systems,67,99,PA,17.1 MM,1988,Software
4677,Academy Mortgage,67,3055,UT,472.0 MM,1988,Real Estate
4714,Ammex,66,698,WA,122.4 MM,1988,Manufacturing
4790,JMARK Business Solutions,64,115,MO,17.8 MM,1988,IT Management
1614,Design Innovation Architects,288,23,TN,3.1 MM,1989,Construction
2096,Scanco Software,212,52,FL,7.1 MM,1989,Software
2532,Highlands Residential Mortgage,169,261,TX,63.7 MM,1989,Financial Services
2535,Indusa Technical,169,276,IL,8.7 MM,1989,IT System Development
2774,Dreamstyle Remodeling,149,570,NM,84.7 MM,1989,Construction
3473,Transformyx,109,52,LA,26.9 MM,1989,IT Management
3511,Five Star Restoration,107,70,CA,10.0 MM,1989,Construction
3748,Power Design,98,1495,FL,469.6 MM,1989,Construction
3793,Lighting Unlimited,96,34,AZ,11.1 MM,1989,Consumer Products & Services
3986,Sioux Falls Tower & Communications,89,90,SD,21.6 MM,1989,Telecommunications
4025,Vault Communications,87,32,PA,6.4 MM,1989,Advertising & Marketing
4032,LoSasso Integrated Marketing,87,41,IL,11.0 MM,1989,Advertising & Marketing
4041,Freedom Boat Club,87,242,FL,21.5 MM,1989,Consumer Products & Services
4161,Jackson Design and Remodeling,83,64,CA,21.2 MM,1989,Construction
4287,RoboVent Solutions Group,78,164,MI,54.7 MM,1989,Manufacturing
4536,PRK Drilling & Blasting,72,39,VA,11.8 MM,1989,Construction
4781,Natalie's Orchid Island Juice Company,64,170,FL,50.4 MM,1989,Food & Beverage
4794,IQMS,64,315,CA,59.8 MM,1989,Software
4876,FC Construction Services,61,120,TX,12.7 MM,1989,Construction
4959,Strategic Sales,59,47,CT,2.9 MM,1989,Advertising & Marketing
4998,"Traffic Planning and Design, Inc.",57,160,PA,18.2 MM,1989,Engineering
478,SETEX Construction,"1,058",23,TX,28.9 MM,1990,Construction
1876,American Paper Optics,238,35,TN,20.2 MM,1990,Consumer Products & Services
1890,RAR Hospitality,237,650,CA,81.0 MM,1990,Travel & Hospitality
2142,GHA Technologies,207,142,AZ,363.8 MM,1990,Business Products & Services
2586,Kobie Marketing,164,461,FL,70.3 MM,1990,Advertising & Marketing
2716,Freedom Mortgage,154,5247,NJ,1154.7 MM,1990,Financial Services
2853,Sentar,144,149,AL,24.5 MM,1990,Government Services
3009,Trademasters Service,134,135,VA,27.1 MM,1990,Business Products & Services
3344,Precise Systems,116,301,MD,50.3 MM,1990,Government Services
3390,Poulton Associates,114,26,UT,11.4 MM,1990,Insurance
3557,Homefix Custom Remodeling,106,415,MD,73.9 MM,1990,Construction
3605,A3 Communications,103,105,SC,45.0 MM,1990,IT Management
3945,G Adventures,90,2231,MA,72.5 MM,1990,Travel & Hospitality
3948,Sophisticated Systems,90,40,OH,39.7 MM,1990,IT Management
4072,Blades of Green,86,63,MD,7.8 MM,1990,Consumer Products & Services
4211,The Spa & Sauna Co,81,24,NV,6.9 MM,1990,Consumer Products & Services
4271,First American Payment Systems,79,830,TX,761.6 MM,1990,Financial Services
4360,PCA SKIN,76,126,AZ,45.8 MM,1990,Health
4377,Argent Financial Group,76,238,LA,52.9 MM,1990,Financial Services
4589,Ulrich Barns,70,101,TX,23.8 MM,1990,Manufacturing
4597,Hayes Software Systems,70,46,TX,9.6 MM,1990,Software
4804,National Food Group,63,108,MI,124.9 MM,1990,Food & Beverage
4824,Quality Aluminum Products,63,0,MI,45.0 MM,1990,Manufacturing
4847,PC Laptops,62,118,UT,26.5 MM,1990,Consumer Products & Services
4936,Purple Onion Catering,59,52,VA,7.1 MM,1990,Food & Beverage
428,Crimcheck Holdings,"1,166",32,OH,6.0 MM,1991,Business Products & Services
738,Innovative Power Systems,679,40,MN,33.9 MM,1991,Energy
1150,Benchworks,428,46,MD,42.4 MM,1991,Advertising & Marketing
1696,RNA Facilities Management,270,200,MI,6.2 MM,1991,Business Products & Services
1879,Tomo Drug Testing,238,148,MO,8.5 MM,1991,Business Products & Services
2116,Zen Rent Property Management,210,6,AZ,2.9 MM,1991,Real Estate
2416,AmeriChem Systems,179,25,IL,9.6 MM,1991,Manufacturing
2799,Merrimak Capital Company,147,37,CA,130.3 MM,1991,Business Products & Services
2979,Page After Page Business Systems,136,15,DC,3.2 MM,1991,Computer Hardware
3173,Park Place Technologies,124,900,OH,158.6 MM,1991,IT Management
3240,Wahid,121,290,VA,59.1 MM,1991,Retail
3853,Galaxy Builders,93,48,TX,118.0 MM,1991,Construction
3878,Nationwide Title Clearing,92,541,FL,58.8 MM,1991,Financial Services
3969,Chartwell Pennsylvania,89,305,PA,1083.7 MM,1991,Health
4036,OnSight Industries,87,117,FL,19.0 MM,1991,Manufacturing
4068,ISI Professional Services,86,44,DC,7.0 MM,1991,Government Services
4174,The Dirt Connection,82,11,CA,2.6 MM,1991,Construction
4222,Boca Beauty Academy,81,41,FL,4.9 MM,1991,Education
4239,Sequoia Financial Group,80,67,OH,15.5 MM,1991,Financial Services
4261,Gray Matter Systems,79,72,PA,20.5 MM,1991,Manufacturing
4404,Repipe Specialists,75,16,CA,10.6 MM,1991,Construction
4664,Saturn Freight Systems,68,157,GA,61.3 MM,1991,Logistics & Transportation
4723,"Sharp, Robbins & Popwell",66,45,TN,27.6 MM,1991,Construction
4748,Mainstream Boutique,65,13,MN,27.8 MM,1991,Retail
764,Visible Supply Chain Management,656,700,UT,248.7 MM,1992,Logistics & Transportation
1138,LensDirect.com,432,15,NY,5.7 MM,1992,Health
2014,Shopoff Realty Investments,222,71,CA,21.3 MM,1992,Real Estate
2561,Just Events! Group/dba Just Marry!/dba Just Right! Destination Management,166,25,FL,3.0 MM,1992,Travel & Hospitality
2643,Alliance Cost Containment,160,32,KY,5.5 MM,1992,Business Products & Services
2664,Raymond Engineering,158,49,GA,5.9 MM,1992,Engineering
2906,Information Management Resources,141,108,CA,16.2 MM,1992,Telecommunications
2930,STS International,139,104,WV,67.9 MM,1992,Government Services
2997,Prestman Auto,135,74,UT,57.7 MM,1992,Consumer Products & Services
3243,TargetMarket,121,12,SC,2.3 MM,1992,Advertising & Marketing
3643,AtWork Group,102,430,TN,331.8 MM,1992,Human Resources
3651,Levrose Commercial Real Estate,101,28,AZ,4.6 MM,1992,Real Estate
3804,Katom Restaurant Supply,96,136,TN,127.2 MM,1992,Food & Beverage
3846,Koss Creative Brands,94,40,SC,7.4 MM,1992,Consumer Products & Services
3854,Celtic Chicago,93,31,IL,5.5 MM,1992,Advertising & Marketing
4122,Alpha Omega Construction Group,84,219,NC,106.3 MM,1992,Construction
4314,Andujar Construction,77,23,NC,24.3 MM,1992,Construction
4365,Lithko Contracting,76,1902,OH,593.8 MM,1992,Construction
4374,1Micro,76,28,MN,4.2 MM,1992,Security
4387,HDS Marketing,76,86,PA,29.4 MM,1992,Advertising & Marketing
4391,Ardent Learning,75,28,NY,11.8 MM,1992,Business Products & Services
4423,Computer Enterprises,75,512,PA,68.7 MM,1992,IT System Development
4469,Lin and Associates,73,48,AZ,8.8 MM,1992,Engineering
4516,Comprehensive Energy Services,72,257,FL,41.1 MM,1992,Construction
4524,FIREHOOK,72,80,VA,9.2 MM,1992,Food & Beverage
4617,Moore Communications Group,69,42,FL,11.4 MM,1992,Advertising & Marketing
4621,Summit Information Resources,69,35,MN,22.6 MM,1992,Computer Hardware
4761,Storflex,64,90,NY,19.2 MM,1992,Manufacturing
4859,Power Home Remodeling,62,2356,PA,486.2 MM,1992,Construction
4953,Custom Profile,59,0,MI,48.3 MM,1992,Manufacturing
4982,Appliance World of Huntington,58,54,NY,47.3 MM,1992,Retail
572,Technical Assurance,888,54,OH,31.5 MM,1993,Business Products & Services
1605,U.S. Adjusting Services,289,120,TX,34.4 MM,1993,Insurance
1909,Central Conveyor Company,235,204,MI,242.3 MM,1993,Manufacturing
1987,Alpha Structural,225,127,CA,16.2 MM,1993,Construction
2209,Nexgrill Industries,200,72,CA,187.2 MM,1993,Consumer Products & Services
2314,Diversified,189,1500,NJ,604.8 MM,1993,Business Products & Services
2570,Erben Associates,166,10,TX,4.3 MM,1993,Financial Services
2589,DMA Custom Millwork,164,90,GA,16.6 MM,1993,Construction
2905,Intellinet,141,133,GA,30.9 MM,1993,IT Management
2917,BOS Security,140,100,GA,4.0 MM,1993,Security
3029,Environmental Protection Industries,133,22,IL,11.4 MM,1993,Environmental Services
3110,GroundWorks,128,485,VA,62.7 MM,1993,Construction
3253,ComTec Systems,121,26,NJ,3.2 MM,1993,Telecommunications
3431,LTC Language Solutions,111,47,IN,8.7 MM,1993,Education
3503,ROSI Office Systems,108,28,TX,6.3 MM,1993,Business Products & Services
3516,Dimensional Innovations,107,246,KS,41.9 MM,1993,Engineering
3556,NCWC,106,53,NJ,138.5 MM,1993,Consumer Products & Services
3576,Natural Vitamin Laboratory,105,145,FL,15.0 MM,1993,Health
3603,Proliant,104,220,GA,32.0 MM,1993,Business Products & Services
3761,Opus Agency,97,174,OR,67.9 MM,1993,Business Products & Services
3837,Peepers by PeeperSpecs,94,24,IN,12.8 MM,1993,Consumer Products & Services
4009,Russell Cellular,88,1578,MO,318.1 MM,1993,Retail
4010,Softworld,88,566,MA,72.0 MM,1993,Business Products & Services
4109,TrippNT,85,31,MO,4.5 MM,1993,Manufacturing
4138,Service Express,84,402,MI,95.4 MM,1993,IT Management
4170,Lewellyn Technology,83,59,IN,12.7 MM,1993,Engineering
4246,Associated Building Supply,80,27,CA,35.3 MM,1993,Consumer Products & Services
4293,HyGen Pharmaceuticals,78,30,WA,26.0 MM,1993,Health
4347,Ana-Data Consulting,77,110,NJ,14.6 MM,1993,IT System Development
4456,Pinnacle Freight Systems,74,77,NJ,51.5 MM,1993,Logistics & Transportation
4500,Executive Speakers Bureau,73,12,TN,8.8 MM,1993,Business Products & Services
4511,MyITpros,72,38,TX,5.7 MM,1993,IT Management
4622,Fortus Healthcare Resources,69,110,NY,13.9 MM,1993,Health
4820,Lisa Grant Orthodontics,63,12,IL,2.4 MM,1993,Health
